dt,P_SIN_middle,dP_SIN_middle,P_SIN_side,dP_SIN_side,P_SIN_blitz,dP_SIN_blitz,P_SIN_side_central_OU,dP_SIN_side_central_OU,P_NHL_middle,dP_NHL_middle,P_NHL_side,dP_NHL_side,P_NHL_blitz,dP_NHL_blitz,P_NHL_side_central_OU,dP_NHL_side_central_OU
0.2,272.291206211206,8.69965598167547,272.255279379781,8.35547089953143,261.665474452764,8.55184552781442,282.975450339692,9.93661749057647,282.393747947017,7.11494625422609,280.678474035697,8.24676135934378,269.90973541806,7.42031738450533,270.833749594886,7.51959401719821
0.4,266.338556468691,8.1302149789281,280.982456362227,9.16533167149676,270.403067738612,8.89403697966745,282.758135967648,8.33485227941265,277.748509214515,7.91235122834785,269.516048938021,8.95459932151024,274.537583255947,8.47161052602948,272.415941710112,7.3854328219422
0.6,271.539588471078,7.9497543713886,271.944746882245,7.8148563042788,278.463147745104,8.65191762072311,290.064384046667,8.88747692291375,282.880834966099,8.03075290416797,274.595025430495,7.122679031595,269.117823816084,7.84655064186251,267.127237020871,8.29787477838409
0.8,278.235693058534,8.97048602548222,268.797599418486,10.1563527667364,277.826605019737,9.03382553951569,282.836207245334,8.51280954356464,272.001443293426,7.16783349916211,283.309734994617,7.78461918433656,269.167146867538,8.07799249959878,264.473196161776,8.43313647076715
1,276.361842101056,8.49775858865028,297.25451165417,8.56051435998919,291.835528408215,8.32211833273728,286.22951959626,8.23673481358736,271.682993680303,8.40713061464735,283.310797256561,7.87670069997217,269.262610841325,8.18476937158683,281.847295031276,8.02344441147431
1.2,275.705076630688,8.63037781561138,282.146724156267,9.29212748443545,282.502123197604,9.13218483927436,288.317324698282,8.84499544628629,258.718813566373,7.74459167632,268.80336107953,8.51179529468077,266.481935426322,8.4006443489434,283.733602869685,8.43524578273814
1.4,279.802441709151,7.6466140053778,272.311220433055,9.8722249349991,280.488513274216,8.91488800052362,258.872799885385,9.02816899504423,254.437863456314,8.53834206199746,277.383950293697,8.00781678488269,262.541820937418,8.24852728628471,283.991232154944,8.16068752409781
1.6,275.929294522322,8.92883451166151,271.029211886243,8.92111160521512,272.374546738754,8.00761559756818,263.309813031363,8.49920996767218,272.272929914496,8.31723491737748,274.992357381885,7.73877487564606,273.366599122037,8.26527641894731,271.350831569291,8.08509730780689
1.8,281.56836408509,8.64430669047792,259.450739960105,8.42983452495047,279.369962240434,8.82111950987392,247.527426208888,8.95430102037012,259.560492012627,8.37253527275125,288.797895786215,8.4038043399956,259.15221534994,8.83231832411945,290.918288629752,7.93043822713446
2,263.776180343269,8.48304246994097,276.642686485163,8.06237244657971,258.529108119087,8.1867946044349,253.951863481379,8.12959320424059,264.180806634125,8.78786832460366,272.387625837048,7.37490656547022,256.934194169657,8.07781900524311,292.068536379742,8.29368576985493
