dt,T_NHL_middle,dT_NHL_middle,T_NHL_side,dT_NHL_side,T_NHL_blitz,dT_NHL_blitz,T_NHL_side_central_OU,dT_NHL_side_central_OU,dt,T_NHL_middle,dT_NHL_middle,T_NHL_side,dT_NHL_side,T_NHL_blitz,dT_NHL_blitz,T_NHL_side_central_OU
0.2,299.585549155904,1.25E-02,300.001771969518,1.25E-02,299.935558538506,1.25E-02,300.006160502937,1.25E-02,0.2,299.585549155904,1.25E-02,300.001771969518,1.25E-02,299.935558538506,1.25E-02,300.006160502937
0.4,298.376287744668,1.24E-02,299.939998915218,1.25E-02,299.763091272252,1.25E-02,300.009079831987,1.25E-02,0.4,298.376287744668,1.24E-02,299.939998915218,1.25E-02,299.763091272252,1.25E-02,300.009079831987
0.6,296.312600168351,1.23E-02,299.855759283698,1.24E-02,299.458972622285,1.24E-02,300.006576956387,1.25E-02,0.6,296.312600168351,1.23E-02,299.855759283698,1.24E-02,299.458972622285,1.24E-02,300.006576956387
0.8,293.494837989301,1.22E-02,299.737800066038,1.25E-02,299.023000641179,1.24E-02,300.038922622842,1.25E-02,0.8,293.494837989301,1.22E-02,299.737800066038,1.25E-02,299.023000641179,1.24E-02,300.038922622842
1,289.788628046731,1.21E-02,299.572841899897,1.25E-02,298.44144886019,1.24E-02,300.064841638972,1.25E-02,1,289.788628046731,1.21E-02,299.572841899897,1.25E-02,298.44144886019,1.24E-02,300.064841638972
1.2,285.345300952427,1.16E-02,299.422648072414,1.22E-02,297.736579675893,1.21E-02,300.100912618007,1.23E-02,1.2,285.345300952427,1.16E-02,299.422648072414,1.22E-02,297.736579675893,1.21E-02,300.100912618007
1.4,280.069026232622,1.16E-02,299.202620293732,1.23E-02,296.932816845181,1.22E-02,300.164859718492,1.24E-02,1.4,280.069026232622,1.16E-02,299.202620293732,1.23E-02,296.932816845181,1.22E-02,300.164859718492
1.6,274.015466288084,1.12E-02,298.974713115486,1.22E-02,295.986254934273,1.20E-02,300.197905266606,1.23E-02,1.6,274.015466288084,1.12E-02,298.974713115486,1.22E-02,295.986254934273,1.20E-02,300.197905266606
1.8,267.175266800978,1.11E-02,298.697598082321,1.23E-02,294.883601250852,1.22E-02,300.246842449298,1.25E-02,1.8,267.175266800978,1.11E-02,298.697598082321,1.23E-02,294.883601250852,1.22E-02,300.246842449298
2,259.574257220578,1.11E-02,298.402318076502,1.27E-02,293.648233365217,1.24E-02,300.316850937521,1.28E-02,2,259.574257220578,1.11E-02,298.402318076502,1.27E-02,293.648233365217,1.24E-02,300.316850937521
